OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,TotNumberCycles,TotUsingFrozenEggs,MedicalDirector,IVF_Rate,Unstimulated_Rate,Gest_Rate,ICSI_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDTwinLBRate1,FshNDTwinLBRate2,FshNDTwinLBRate3,FshNDTwinLBRate4,FshNDTwinLBRate5,FshNDHealthSnglLBRate1,FshNDHealthSnglLBRate2,FshNDHealthSnglLBRate3,FshNDHealthSnglLBRate4,FshNDHealthSnglLBRate5,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDTwinLB_TransRate1,FshNDTwinLB_TransRate2,FshNDTwinLB_TransRate3,FshNDTwinLB_TransRate4,FshNDTwinLB_TransRate5,FshNDHealthSnglLB_TransRate1,FshNDHealthSnglLB_TransRate2,FshNDHealthSnglLB_TransRate3,FshNDHealthSnglLB_TransRate4,FshNDHealthSnglLB_TransRate5,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDTwinLB_TransRate1,ThwNDTwinLB_TransRate2,ThwNDTwinLB_TransRate3,ThwNDTwinLB_TransRate4,ThwNDTwinLB_TransRate5,ThwNDHealthSnglLB_TransRate1,ThwNDHealthSnglLB_TransRate2,ThwNDHealthSnglLB_TransRate3,ThwNDHealthSnglLB_TransRate4,ThwNDHealthSnglLB_TransRate5,TotBankingCycles1,TotBankingCycles2,TotBankingCycles3,TotBankingCycles4,TotBankingCycles5,TotBankLTCycles1,TotBankLTCycles2,TotBankLTCycles3,TotBankLTCycles4,TotBankLTCycles5,FshDnrEggTotCycles,ThwDnrEggTotCycles,ThwDnrEmbTotCycles,DonatedEmbCycles,FshDnrEggTransfers,ThwDnrEggTransfers,ThwDnrEmbTransfers,DonatedEmbTransfers,FshDnrEggRate,ThwDnrEggRate,ThwDnrEmbRate,DonatedEmbRate,FshDnrEggImplant,ThwDnrEggImplant,ThwDnrEmbImplant,DonatedEmbImplant,FshDnrEggTransPregRate,ThwDnrEggTransPregRate,ThwDnrEmbTransPregRate,DonatedEmbTransPregRate,FshDnrEggLvBirths_TransRate,ThwDnrEggLvBirths_TransRate,ThwDnrEmbLvBirths_TransRate,DonatedEmbLvBirths_TransRate,FshDnrEggSnglLB_TransRate,ThwDnrEggSnglLB_TransRate,ThwDnrEmbSnglLB_TransRate,DonatedEmbSnglLB_TransRate,FshDnrEggTwinLvBirths_TransRate,ThwDnrEggTwinLvBirths_TransRate,ThwDnrEmbTwinLvBirths_TransRate,DonatedEmbTwinLvBirths_TransRate,FshDnrEggHealthSnglLB_TransRate,ThwDnrEggSngLB_TransRate,ThwDnrEmbSngLB_TransRate,DonatedEmbSngLB_TransRate,ReorgOrClosedMessage,CurrClinNameAll,DonorEgg,DonorEmbryo,EmbryoCryo,EggCryo,SingleWomen,Surrogates,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
211,MONTGOMERY FERTILITY CENTER,,ROCKVILLE,MARYLAND,92,0,"Oluyemisi Adesanya-Famuyiwa, MD",1,0%,4%,56%,0%,27%,0.19,0.27,0,0.29,0.35,10%,12%,25%,24%,13,12,6,5,2,13-Jan,0 / 12,6-Jan,0 / 5,0 / 2,12,12,5,4,2,2.3,3,1.8,2.8,2,0 / 11,0 / 12,0 / 3,0 / 4,0 / 1,13-Feb,12-May,6-Jan,0 / 5,0 / 2,13-Feb,12-Jan,6-Jan,0 / 5,0 / 2,13-Feb,12-Jan,0 / 6,0 / 5,0 / 2,0 / 13,0 / 12,6-Jan,0 / 5,0 / 2,13-Feb,12-Jan,0 / 6,0 / 5,0 / 2,7.1,12.5,9-Feb,0 / 11,0 / 4,12-Feb,12-May,5-Jan,0 / 4,0 / 2,12-Feb,12-Jan,5-Jan,0 / 4,0 / 2,12-Feb,12-Jan,0 / 5,0 / 4,0 / 2,0 / 12,0 / 12,5-Jan,0 / 4,0 / 2,12-Feb,12-Jan,0 / 5,0 / 4,0 / 2,9,3,3,0,2,9,3,3,0,2,2.3,0.8,0.6,0,0.2,2.2,1.7,2,,2,15,0 / 5,6-Jan,,0 / 4,9-Mar,0 / 3,3-Jan,,0 / 2,9-Mar,0 / 3,3-Jan,,0 / 2,9-Mar,0 / 3,3-Jan,,0 / 2,0 / 9,0 / 3,0 / 3,,0 / 2,9-Feb,0 / 3,3-Jan,,0 / 2,3,4,4,4,9,0,0,1,0,0,0,0,13,0,0,0,13,0,,,1.9,,,,20,,,,13-May,,,,13-Feb,,,,13-Feb,,,,0 / 13,,,,13-Jan,,,Montgomery Fertility Center,Yes,No,Yes,Yes,Yes,Yes,No,No,0,MD
212,SHADY GROVE FERTILITY REPRODUCTIVE SCIENCE CENTER,,ROCKVILLE,MARYLAND,9413,64,"Michael J. Levy, MD",1,0%,2%,63%,14%,10%,0.11,0.26,0.05,0.04,0.23,16%,22%,7%,8%,"1,286",760,684,387,251,5.8,11.7,16.1,22.2,19.5,"1,040",564,465,228,147,1.3,1.4,1.8,2.1,2.4,70.4,51.9,18.9,4.9,1.6,40.7,32.9,26.3,17.3,9.6,34.7,26.7,16.8,10.9,4.4,31.7,24.3,14.8,9,3.6,2.9,2.4,1.9,1.8,0.8,27.7,20.4,12.6,8,2,43,33.7,24.3,16.4,6.7,50.4,44.3,38.7,29.4,16.3,42.9,36,24.7,18.4,7.5,39.2,32.8,21.7,15.4,6.1,3.6,3.2,2.8,3.1,1.4,34.2,27.5,18.5,13.6,3.4,"1,049",753,629,251,109,988,714,584,232,98,1.3,1.1,0.9,0.8,0.7,1.2,1.2,1.2,1.2,1.3,55.8,55.9,49.7,41.9,32.2,61.6,61.8,56.5,51.3,43.9,48.6,48.6,44.7,38.4,27.6,42.7,43.7,42.6,36.2,27.6,5.9,4.8,1.9,2.2,0,38.2,39.8,37.8,32.3,25.5,413,432,497,230,110,114,207,143,29,10,530,136,841,1,411,98,763,1,1.2,1.3,1.2,2,52.3,42.1,45,2-Feb,59.9,53.1,51.2,1-Jan,47,41.8,39.2,1-Jan,42.1,37.8,35.6,0 / 1,4.9,4.1,3.5,1-Jan,32.4,29.6,28,0 / 1,,Shady Grove Fertility-Rockville,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MD
213,FERTILITY CENTER OF MARYLAND,,TOWSON,MARYLAND,373,0,"Santiago L. Padilla, MD",1,<1%,0%,31%,0%,19%,0.21,0.27,0.1,0.14,0.35,16%,14%,23%,20%,82,44,63,22,21,7.3,11.4,23.8,31.8,57.1,71,35,43,14,8,1.4,1.5,2.2,3.6,3.5,52.6,45.2,17.5,0 / 14,0 / 6,32.9,43.2,25.4,27.3,4.8,28,31.8,19,13.6,0,25.6,27.3,12.7,4.5,0,2.4,4.5,6.3,9.1,0,22,22.7,9.5,0,0,28.7,38.5,21.5,14,3.6,38,54.3,37.2,14-Jun,8-Jan,32.4,40,27.9,14-Mar,0 / 8,29.6,34.3,18.6,14-Jan,0 / 8,2.8,5.7,9.3,14-Feb,0 / 8,25.4,28.6,14,0 / 14,0 / 8,57,42,17,1,3,49,35,15,0,2,2,2.5,1.9,,2,1.3,1.3,1.3,,1,32.3,28.3,25,,0 / 2,38.8,37.1,15-Apr,,0 / 2,32.7,25.7,15-Apr,,0 / 2,30.6,22.9,15-Apr,,0 / 2,2,2.9,0 / 15,,0 / 2,20.4,22.9,15-Apr,,0 / 2,13,3,2,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,,,1,1,,,0 / 1,1-Jan,,,0 / 1,1-Jan,,,0 / 1,1-Jan,,,0 / 1,1-Jan,,,0 / 1,0 / 1,,,0 / 1,0 / 1,,Fertility Center of Maryland,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,MD
214,SHADY GROVE FERTILITY RSC-TOWSON,,TOWSON,MARYLAND,2218,26,"Eugene Katz, MD",1,0%,1%,69%,10%,11%,0.16,0.2,0.06,0.03,0.31,17%,17%,8%,11%,489,208,195,54,29,4.3,6.3,12.3,18.5,17.2,394,170,141,33,16,1.2,1.4,1.9,2.4,2.6,72.1,43.7,7.3,0,0 / 14,45.2,38.9,27.7,16.7,17.2,36,30.3,17.9,9.3,3.4,33.5,26,14.4,7.4,3.4,2.5,4.3,3.6,1.9,0,28.8,23.6,12.8,1.9,3.4,49.3,36,23.7,12.9,8.6,56.1,47.6,38.3,27.3,16-May,44.7,37.1,24.8,15.2,16-Jan,41.6,31.8,19.9,12.1,16-Jan,3,5.3,5,3,0 / 16,35.8,28.8,17.7,3,16-Jan,335,155,97,36,12,323,146,91,32,7,1.3,1.1,0.9,0.6,0.3,1.2,1.2,1.3,1.5,1.4,56.4,42.2,38.5,17.1,10-May,61.3,50,46.2,28.1,7-Apr,47.1,37,34.1,15.6,7-Mar,42.4,34.2,33,12.5,7-Feb,4.3,2.7,1.1,3.1,7-Jan,37.5,30.8,28.6,9.4,7-Feb,136,86,80,49,17,23,32,17,6,3,103,21,90,0,83,14,82,0,1.2,1.5,1.1,,51,47.6,48.8,,57.8,14-Jul,57.3,,47,14-Jun,42.7,,42.2,14-Mar,42.7,,4.8,14-Mar,0,,36.1,14-Mar,36.6,,,Shady Grove Fertility-Towson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MD
215,BRIGHAM AND WOMEN'S HOSPITAL CENTER FOR ASSISTED REPRODUCTIVE TECHNOLOGY,,BOSTON,MASSACHUSETTS,2298,24,"Elizabeth S. Ginsburg, MD",1,<1%,2%,38%,5%,8%,0,0.35,0.06,0.03,0.28,12%,31%,7%,12%,294,204,223,104,74,3.4,3.4,7.6,9.6,6.8,268,189,194,90,62,1.2,1.5,2,3.1,3.7,76.1,53.9,24,7.7,1.8,42.9,40.2,30.9,19.2,24.3,31,30.9,22.9,13.5,14.9,28.2,27.5,17,11.5,13.5,2.7,3.4,5.8,1.9,1.4,23.8,21.6,15.7,8.7,12.2,40.2,31.8,20.2,7.1,7.1,47,43.4,35.6,22.2,29,34,33.3,26.3,15.6,17.7,31,29.6,19.6,13.3,16.1,3,3.7,6.7,2.2,1.6,26.1,23.3,18,10,14.5,359,270,181,85,41,330,238,163,73,40,1.4,1.5,1.3,1.3,1.1,1.2,1.3,1.5,1.7,2.1,54.7,48.1,37,28.4,5.6,63,60.9,52.8,47.9,25,47.3,41.2,37.4,32.9,10,43.3,36.6,33.7,28.8,10,3.9,4.6,3.7,4.1,0,38.2,30.3,28.8,27.4,7.5,147,80,74,38,17,51,22,14,3,3,33,0,50,0,32,0,50,0,1.1,,1.3,,75,,52.5,,78.1,,64,,62.5,,54,,62.5,,50,,0,,4,,62.5,,42,,,Brigham and Women's Hospital Center for Assisted Reproductive Technology,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,MA
216,MASSACHUSETTS GENERAL HOSPITAL FERTILITY CENTER,,BOSTON,MASSACHUSETTS,1072,0,"John C. Petrozza, MD",1,0%,2%,60%,6%,12%,0.12,0.26,0.06,0.06,0.39,9%,20%,9%,18%,244,136,125,53,17,4.9,5.1,9.6,15.1,17-Mar,220,120,103,41,14,1.2,1.5,2,2.7,3.1,76.5,43.4,4.4,0,0 / 12,50,40.4,36,26.4,17-Jan,46.3,33.8,29.6,13.2,0 / 17,45.1,31.6,25.6,7.5,0 / 17,1.2,2.2,4,5.7,0 / 17,34.4,26.5,23.2,7.5,0 / 17,48.1,32.4,23.2,17.8,2.3,55.5,45.8,43.7,34.1,14-Jan,51.4,38.3,35.9,17.1,0 / 14,50,35.8,31.1,9.8,0 / 14,1.4,2.5,4.9,7.3,0 / 14,38.2,30,28.2,9.8,0 / 14,131,97,64,13,10,125,95,63,13,10,1.2,1.4,1.6,0.8,3.3,1.1,1.2,1.3,1.4,1.8,47.6,49.5,37,18-Jan,18-Jan,50.4,54.7,42.9,13-Jan,10-Jan,44,44.2,33.3,0 / 13,0 / 10,41.6,42.1,30.2,0 / 13,0 / 10,2.4,2.1,3.2,0 / 13,0 / 10,32,33.7,23.8,0 / 13,0 / 10,52,36,27,8,3,22,20,10,2,2,35,1,20,0,34,1,19,0,1.2,2,1.1,,52.4,0 / 2,14 / 19,,61.8,0 / 1,19-Nov,,50,0 / 1,19-Aug,,47.1,0 / 1,19-Jul,,2.9,0 / 1,19-Jan,,32.4,0 / 1,19-Apr,,,Massachusetts General Hospital Fertility Center,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,MA
217,"FERTILITY SOLUTIONS, PC",,DEDHAM,MASSACHUSETTS,710,0,"Ania Kowalik, MD",>99%,0%,<1%,45%,6%,9%,0.08,0.2,0.06,0.01,0.25,5%,39%,4%,9%,117,94,70,57,21,2.6,14.9,14.3,14,28.6,104,69,51,34,10,1.3,1.5,2.1,2.4,2.5,63.5,46.6,13.6,0,9-Jan,42.7,31.9,21.4,12.3,9.5,37.6,24.5,15.7,7,4.8,33.3,22.3,12.9,7,4.8,4.3,2.1,2.9,0,0,29.9,19.1,11.4,1.8,4.8,38.5,29.8,16.2,10.8,8,48.1,43.5,29.4,20.6,10-Feb,42.3,33.3,21.6,11.8,10-Jan,37.5,30.4,17.6,11.8,10-Jan,4.8,2.9,3.9,0,0 / 10,33.7,26.1,15.7,2.9,10-Jan,104,72,49,16,9,94,67,47,13,3,2.5,2.2,1.4,1,0.4,1.2,1.2,1.2,1.7,1.3,36.7,33.3,33.3,18-Apr,4-Jan,42.6,40.3,42.6,13-Jun,3-Jan,36.2,28.4,29.8,13-Apr,0 / 3,34,26.9,29.8,13-Apr,0 / 3,2.1,1.5,0,0 / 13,0 / 3,29.8,22.4,25.5,13-Apr,0 / 3,13,10,21,6,7,2,1,4,0,0,10,12,20,2,8,9,19,2,1.3,1.3,1.3,1,9-Jul,12-Jul,41.7,2-Jan,8-Jul,9-Jun,19-Sep,2-Jan,8-Jun,9-May,19-Jul,0 / 2,8-May,9-Apr,19-Jun,0 / 2,8-Jan,9-Jan,19-Jan,0 / 2,8-Apr,9-Feb,19-May,0 / 2,,"Fertility Solutions, PC",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MA
218,IVF NEW ENGLAND,,LEXINGTON,MASSACHUSETTS,3050,7,"Samuel C. Pang, MD",1,0%,<1%,44%,12%,15%,0.14,0.26,0.07,0.03,0.42,19%,16%,12%,23%,608,336,249,123,45,3.6,6,6.8,14.6,8.9,479,251,193,74,28,1.2,1.5,1.9,2.7,3.3,72.7,46.5,12.3,3.3,0,35.7,31.8,28.1,10.6,4.4,31.7,25.3,21.7,5.7,0,29.4,23.2,18.9,5.7,0,2.3,2.1,2.8,0,0,24.2,19.3,14.9,4.9,0,38.7,30.7,21.5,7.1,0,45.3,42.6,36.3,17.6,7.1,40.3,33.9,28,9.5,0,37.4,31.1,24.4,9.5,0,2.9,2.8,3.6,0,0,30.7,25.9,19.2,8.1,0,522,320,187,56,21,490,295,170,52,17,1.4,1.4,1.3,0.7,0.8,1.1,1.2,1.2,1.3,1.3,57.3,59.4,43.9,43.5,18-Jun,60,65.8,50.6,53.8,17-Aug,53.3,57.3,40,44.2,17-Apr,48,51.9,37.6,40.4,17-Apr,4.9,5.4,2.4,3.8,0 / 17,41.8,45.8,31.8,32.7,17-Apr,152,115,83,53,19,12,19,11,0,0,20,59,72,3,18,49,65,3,1.1,1.1,1,1,18-Oct,42.6,59.4,3-Feb,18-Nov,49,60,3-Feb,18-Oct,46.9,47.7,3-Feb,18-Oct,46.9,44.6,3-Feb,0 / 18,0,3.1,0 / 3,18-Aug,34.7,36.9,3-Feb,This clinic has closed since 2016. Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for further information.,,,,,,,,,,0,MA
219,"FERTILITY CENTERS OF NEW ENGLAND, INC.","NEW ENGLAND CLINICS OF REPRODUCTIVE MEDICINE, INC.",READING,MASSACHUSETTS,1485,4,"Danielle Vitiello, MD, PhD",1,0%,<1%,58%,10%,10%,0.09,0.13,0.06,0.01,0.28,28%,24%,7%,11%,362,132,135,51,21,1.7,3,8.1,3.9,0,224,79,77,31,12,1.3,1.4,1.7,1.7,2,66.5,46,11.7,0,0 / 9,27.1,24.2,25.9,21.6,9.5,24.9,19.7,22.2,19.6,9.5,22.1,15.9,17.8,15.7,4.8,2.8,3.8,4.4,3.9,4.8,18.2,13.6,17,15.7,0,42.1,37.2,32.3,25.9,12.5,43.8,40.5,45.5,35.5,12-Feb,40.2,32.9,39,32.3,12-Feb,35.7,26.6,31.2,25.8,12-Jan,4.5,6.3,7.8,6.5,12-Jan,29.5,22.8,29.9,25.8,0 / 12,268,130,78,20,11,255,120,73,18,11,1.3,1.3,1,0.7,0.6,1.2,1.3,1.3,1.6,1.3,49.2,41.2,40.4,28.6,14-Mar,52.5,44.2,43.8,18-Aug,11-Mar,49.4,42.5,38.4,18-Jun,11-Mar,42.7,35,30.1,18-Jun,11-Mar,6.7,7.5,8.2,0 / 18,0 / 11,37.6,32.5,27.4,18-Jun,11-Mar,56,48,51,17,16,4,8,11,0,1,6,3,76,0,0,3,69,0,,1.3,1.3,,,4-Jan,39.3,,,3-Jan,43.5,,,3-Jan,42,,,3-Jan,37.7,,,0 / 3,4.3,,,3-Jan,30.4,,,"Fertility Centers of New England, Inc., New England Clinics of Reproductive Medicine, Inc.",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,MA
220,BAYSTATE REPRODUCTIVE MEDICINE,,SPRINGFIELD,MASSACHUSETTS,582,1,"Kelly Lynch, MD",1,0%,1%,35%,4%,13%,0.18,0.2,0.07,0.03,0.24,13%,24%,9%,10%,128,63,55,29,8,5.5,4.8,14.5,13.8,8-Jan,84,47,33,17,7,1.1,1.3,1.6,1.8,1.7,85.7,65,37,13-Mar,7-Feb,41.4,42.9,21.8,37.9,8-Jan,36.7,38.1,14.5,24.1,8-Jan,34.4,25.4,10.9,20.7,8-Jan,2.3,12.7,1.8,3.4,0 / 8,25,23.8,7.3,13.8,8-Jan,62,56.7,27.7,53.3,12-Jan,63.1,57.4,36.4,17-Nov,7-Jan,56,51.1,24.2,17-Jul,7-Jan,52.4,34,18.2,17-Jun,7-Jan,3.6,17,3,17-Jan,0 / 7,38.1,31.9,12.1,17-Apr,7-Jan,109,68,48,12,9,89,64,38,10,8,1.7,2,1.3,0.8,0.8,1.2,1.2,1.4,1.6,1,51,50.7,43.8,12-Mar,7-Feb,56.2,54.7,55.3,10-Apr,8-Mar,46.1,43.8,36.8,10-Feb,8-Feb,41.6,35.9,36.8,10-Jan,8-Feb,3.4,7.8,0,10-Jan,0 / 8,39.3,29.7,31.6,10-Jan,8-Feb,10,3,8,1,1,6,1,0,0,0,8,5,16,0,8,4,16,0,1.1,1.3,1.4,,9-Apr,5-Mar,61.9,,8-Mar,4-Feb,13 / 16,,8-Feb,4-Feb,16-Oct,,8-Feb,4-Jan,16-Sep,,0 / 8,4-Jan,16-Jan,,8-Feb,4-Jan,16-Aug,,,Baystate Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MA
221,"CARDONE REPRODUCTIVE MEDICINE AND INFERTILITY, LLC",,STONEHAM,MASSACHUSETTS,320,0,"Vito R. Cardone, MD",1,0%,4%,38%,9%,10%,0.14,0.3,0.04,0.07,0.29,20%,14%,12%,14%,39,32,37,23,25,2.6,3.1,8.1,8.7,20,29,24,26,14,5,1.2,1.7,1.9,2.4,2.4,73.9,19-Jun,14.3,0 / 12,0 / 5,25.6,37.5,16.2,13,0,20.5,31.3,13.5,13,0,20.5,25,10.8,13,0,0,6.3,2.7,0,0,20.5,21.9,5.4,13,0,28.6,34.1,14.3,8.8,0 / 12,34.5,50,23.1,14-Mar,0 / 5,27.6,41.7,19.2,14-Mar,0 / 5,27.6,33.3,15.4,14-Mar,0 / 5,0,8.3,3.8,0 / 14,0 / 5,27.6,29.2,7.7,14-Mar,0 / 5,34,21,16,13,8,26,20,12,12,6,1.2,1.7,0.8,1.1,0.8,1.3,1.5,1.2,1.9,2,42.4,44.8,13-Aug,21.7,12-Jan,42.3,55,12-Jul,12-May,6-Jan,42.3,50,12-Jun,12-Mar,6-Jan,30.8,40,12-May,12-Mar,6-Jan,11.5,10,12-Jan,0 / 12,0 / 6,26.9,40,12-Apr,12-Mar,6-Jan,8,7,13,4,4,2,3,0,0,1,13,0,21,2,13,0,16,2,1.7,,1.6,2,45.5,,52,0 / 4,13-Aug,,16-Aug,0 / 2,13-Aug,,16-Jul,0 / 2,13-Jun,,16-Mar,0 / 2,13-Feb,,16-Apr,0 / 2,13-Mar,,16-Feb,0 / 2,,"Cardone Reproductive Medicine and Infertility, LLC",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MA
222,BOSTON IVF,,WALTHAM,MASSACHUSETTS,3547,15,"Michael M. Alper, MD",>99%,<1%,2%,39%,17%,7%,0.15,0.28,0.04,0.03,0.25,25%,21%,11%,12%,485,282,326,187,84,2.5,7.1,8.9,13.9,16.7,359,192,208,105,49,1.2,1.3,1.9,2.3,2.7,70.2,56,11.3,6.1,2.6,34.6,19.1,17.8,11.2,4.8,30.7,16,12.9,7,0,27.6,13.8,10.1,4.8,0,3.1,2.1,2.5,2.1,0,23.9,12.4,7.4,4.8,0,40.3,22.7,16.8,9.6,3,46.8,28.1,27.9,20,8.2,41.5,23.4,20.2,12.4,0,37.3,20.3,15.9,8.6,0,4.2,3.1,3.8,3.8,0,32.3,18.2,11.5,8.6,0,518,347,238,94,42,464,314,211,83,35,1.4,1.1,0.9,0.8,0.6,1.2,1.1,1.2,1.2,1.5,47.6,46,49,36.8,21.7,52.6,51,56.4,45.8,34.3,45,44.3,48.3,37.3,25.7,41.2,41.7,45,37.3,25.7,3.9,2.2,3.3,0,0,34.3,36.6,37.4,32.5,25.7,160,172,167,75,34,37,47,30,9,3,34,125,161,1,30,101,144,1,1.4,1.5,1.3,2,31.7,44,41.6,2-Jan,43.3,58.4,50.7,1-Jan,40,44.6,42.4,1-Jan,36.7,38.6,38.2,1-Jan,3.3,5,4.2,0 / 1,20,26.7,34,1-Jan,,Boston IVF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MA
223,UNIVERSITY OF MICHIGAN CENTER FOR REPRODUCTIVE MEDICINE,,ANN ARBOR,MICHIGAN,588,0,"Michael S. Lanham, MD",1,0%,<1%,54%,30%,12%,0.29,0.3,0.09,0.07,0.43,17%,10%,18%,27%,139,49,31,26,1,7.2,14.3,35.5,23.1,0 / 1,100,26,8,8,1,1.1,1.3,1.4,1.6,1,92.1,14-Jun,4-Jan,4-Jan,,32.4,28.6,6.5,11.5,0 / 1,30.2,24.5,6.5,0,0 / 1,28.8,24.5,6.5,0,0 / 1,1.4,0,0,0,0 / 1,25.9,20.4,6.5,0,0 / 1,44,41.2,11-Feb,12-Feb,0 / 1,45,53.8,8-Feb,8-Mar,0 / 1,42,46.2,8-Feb,0 / 8,0 / 1,40,46.2,8-Feb,0 / 8,0 / 1,2,0,0 / 8,0 / 8,0 / 1,36,38.5,8-Feb,0 / 8,0 / 1,110,59,23,5,3,102,54,20,5,3,1.1,1.1,0.6,0.5,1.5,1.1,1.1,1.2,1.4,1,33.9,39.7,52.2,7-Apr,3-Mar,36.3,40.7,50,5-Mar,3-Mar,33.3,31.5,40,5-Mar,3-Feb,32.4,31.5,35,5-Feb,3-Feb,1,0,5,5-Jan,0 / 3,29.4,27.8,35,5-Feb,3-Feb,59,34,33,9,1,4,0,0,0,0,1,5,0,0,1,5,0,0,1,1.2,,,1-Jan,6-Mar,,,1-Jan,5-Mar,,,1-Jan,5-Mar,,,1-Jan,5-Mar,,,0 / 1,0 / 5,,,0 / 1,5-Feb,,,,University of Michigan Center for Reproductive Medicine,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,MI
